position,setup,scene,calibration,variable,n,mean,std,median,iqr,min,max,ci_low,ci_high
sitting,remote,screen,no_issue,value,12,19.78845897221108,3.4107322357022647,20.39295022916228,3.155734748343015,12.694198364922055,26.01547189272821,17.621383098052956,21.955534846369208
sitting,remote,screen,slight_issues,value,5,19.488940365751382,4.316800069252664,22.156251334842597,7.043574868748191,14.185563243588865,23.21677393669962,14.128925132316823,24.848955599185942
sitting,remote,table,no_issue,value,5,14.401770907557628,5.841669119414483,14.507817276618043,8.576672020167063,7.420600772478937,21.538887862553118,7.148380672561966,21.65516114255329
sitting,remote,table,slight_issues,value,6,14.257652751857714,3.5399274809700927,14.734207653702954,2.653129586892611,8.601246024026707,19.177456554999885,10.542726690680485,17.972578813034943
sitting,remote,table,severe_issues,value,6,9.705851587615768,3.8428982762781856,9.801001482111044,4.321183476957267,4.731776866868651,15.49279703323349,5.672977175994596,13.73872599923694
sitting,head_mounted,screen,no_issue,value,8,24.95137861543222,6.69943568188891,26.08302271679041,6.475018658951139,11.905772495755516,33.333333333333336,19.35051022226048,30.55224700860396
sitting,head_mounted,screen,slight_issues,value,5,18.455276465818976,11.64096276634559,18.386243386243383,14.484953446356423,3.677973028197793,33.24602055208543,4.001112094417133,32.90944083722082
sitting,head_mounted,screen,severe_issues,value,4,13.128978769431733,11.546594206207574,11.60185293172918,11.465298209492662,1.028748590755355,28.28346062351321,-5.244229265649253,31.502186804512718
sitting,head_mounted,table,no_issue,value,8,43.21944376705085,5.443202670456755,43.310590333014304,8.779081718224553,37.138061267310114,50.55669166098614,38.66881245387829,47.77007508022341
sitting,head_mounted,table,slight_issues,value,5,48.292515071405475,11.49857406219909,51.38154027042916,11.45165214252578,33.42736248236953,63.370113063615314,34.015149627693226,62.569880515117724
sitting,head_mounted,table,severe_issues,value,4,37.999900548196166,3.7369790218607877,38.232188126168055,3.746551714353288,33.31662070694409,42.21860523350445,32.05353300767334,43.946268088718995
standing,remote,screen,no_issue,value,6,19.32917183662062,2.8484009831750026,18.849337697717104,3.946581542268703,15.520286701651097,22.726092921502467,16.339958328162012,22.31838534507923
standing,remote,screen,slight_issues,value,10,18.98260184663639,2.9920269342353683,18.153813467347035,3.181005293094085,14.264667872835355,24.41239854182192,16.842234716327997,21.12296897694478
standing,remote,screen,severe_issues,value,1,20.865284637379776,0.0,20.865284637379776,0.0,20.865284637379776,20.865284637379776,,
standing,remote,table,no_issue,value,9,17.820221712588623,3.8242932103014806,17.810956589550297,2.781879804652487,10.75988627552339,24.197952929895145,14.880609726859147,20.759833698318097
standing,remote,table,slight_issues,value,5,15.406186482274737,2.3001646560200797,17.03316246469296,4.15308826550759,12.870856265199029,17.16704592723091,12.550154838953855,18.26221812559562
standing,remote,table,severe_issues,value,3,14.501607139906673,2.267975230784941,13.653300034238988,2.145691715580151,12.78006897716036,17.071452408320663,8.867644339867962,20.135569939945384
standing,head_mounted,screen,no_issue,value,11,27.04295552154615,8.850975287770256,26.307872304863785,7.113045074938249,13.178722621019697,44.775227164036345,21.096789415023984,32.98912162806832
standing,head_mounted,screen,slight_issues,value,4,24.225775924643926,10.564588736148007,26.924029695170212,10.938168424828724,9.61890497586953,33.43613933236575,7.415157729542944,41.03639411974491
standing,head_mounted,screen,severe_issues,value,1,24.251824817518248,0.0,24.251824817518248,0.0,24.251824817518248,24.251824817518248,,
standing,head_mounted,table,no_issue,value,11,43.957071449829506,6.257890560097394,43.38960387765335,9.838373612567047,34.37350549976088,53.52543112857455,39.75296336716529,48.16117953249372
standing,head_mounted,table,slight_issues,value,4,45.1364986329201,3.2156712173953825,45.93200162961831,4.236408656357938,40.97187552005325,47.710115752390536,40.01964814051566,50.25334912532454
standing,head_mounted,table,severe_issues,value,1,32.02554744525548,0.0,32.02554744525548,0.0,32.02554744525548,32.02554744525548,,
