dv,parametric_ok,comparison,test,group_a,group_b,stat,p,n_a,n_b,p_adj_bh
loss_pct,False,cell_pair,mannwhitneyu,sitting__head_mounted,sitting__remote,2.0,1.0033437419569623e-06,17,17,2.1113217617155244e-06
loss_pct,False,cell_pair,mannwhitneyu,sitting__remote,standing__head_mounted,272.0,1.0556608808577622e-06,17,16,2.1113217617155244e-06
loss_pct,False,cell_pair,mannwhitneyu,standing__head_mounted,standing__remote,0.0,1.0556608808577622e-06,16,17,2.1113217617155244e-06
loss_pct,False,cell_pair,mannwhitneyu,sitting__head_mounted,standing__remote,5.0,1.6874481024034055e-06,17,17,2.531172153605108e-06
loss_pct,False,cell_pair,mannwhitneyu,sitting__head_mounted,standing__head_mounted,194.0,0.03833453236880748,17,16,0.0457464980096626
loss_pct,False,cell_pair,mannwhitneyu,sitting__remote,standing__remote,203.0,0.0457464980096626,17,17,0.0457464980096626
table_pct,False,cell_pair,mannwhitneyu,sitting__head_mounted,sitting__remote,289.0,7.054087623401141e-07,17,17,1.5834913212866433e-06
table_pct,False,cell_pair,mannwhitneyu,sitting__head_mounted,standing__remote,289.0,7.054087623401141e-07,17,17,1.5834913212866433e-06
table_pct,False,cell_pair,mannwhitneyu,sitting__remote,standing__head_mounted,0.0,1.0556608808577622e-06,17,16,1.5834913212866433e-06
table_pct,False,cell_pair,mannwhitneyu,standing__head_mounted,standing__remote,272.0,1.0556608808577622e-06,16,17,1.5834913212866433e-06
table_pct,False,cell_pair,mannwhitneyu,sitting__remote,standing__remote,72.0,0.013140659179966747,17,17,0.015768791015960095
table_pct,False,cell_pair,mannwhitneyu,sitting__head_mounted,standing__head_mounted,129.0,0.814874428740246,17,16,0.814874428740246
screen_pct,False,cell_pair,mannwhitneyu,sitting__remote,standing__head_mounted,53.0,0.0029605233055255598,17,16,0.01120332603490867
screen_pct,False,cell_pair,mannwhitneyu,standing__head_mounted,standing__remote,217.0,0.003734442011636223,16,17,0.01120332603490867
screen_pct,False,cell_pair,mannwhitneyu,sitting__head_mounted,standing__head_mounted,98.0,0.17675260335753484,17,16,0.3535052067150697
screen_pct,False,cell_pair,mannwhitneyu,sitting__head_mounted,standing__remote,172.0,0.3523838403888018,17,17,0.5285757605832027
screen_pct,False,cell_pair,mannwhitneyu,sitting__head_mounted,sitting__remote,164.0,0.5128366746384507,17,17,0.6154040095661408
screen_pct,False,cell_pair,mannwhitneyu,sitting__remote,standing__remote,157.0,0.6793704322713003,17,17,0.6793704322713005
table_share_valid,False,cell_pair,mannwhitneyu,sitting__head_mounted,sitting__remote,285.0,1.4205862748343522e-06,17,17,7.118460967006189e-06
table_share_valid,False,cell_pair,mannwhitneyu,sitting__head_mounted,standing__remote,282.0,2.3728203223353965e-06,17,17,7.118460967006189e-06
table_share_valid,False,cell_pair,mannwhitneyu,sitting__remote,standing__head_mounted,9.0,5.194591592070082e-06,17,16,1.0389183184140164e-05
table_share_valid,False,cell_pair,mannwhitneyu,standing__head_mounted,standing__remote,255.0,1.9670708297914176e-05,16,17,2.9506062446871264e-05
table_share_valid,False,cell_pair,mannwhitneyu,sitting__remote,standing__remote,76.0,0.01917248475522309,17,17,0.023006981706267707
table_share_valid,False,cell_pair,mannwhitneyu,sitting__head_mounted,standing__head_mounted,168.0,0.2565051861805062,17,16,0.2565051861805062
screen_share_valid,False,cell_pair,mannwhitneyu,sitting__head_mounted,sitting__remote,4.0,1.4205862748343522e-06,17,17,7.118460967006189e-06
screen_share_valid,False,cell_pair,mannwhitneyu,sitting__head_mounted,standing__remote,7.0,2.3728203223353965e-06,17,17,7.118460967006189e-06
screen_share_valid,False,cell_pair,mannwhitneyu,sitting__remote,standing__head_mounted,263.0,5.194591592070082e-06,17,16,1.0389183184140164e-05
screen_share_valid,False,cell_pair,mannwhitneyu,standing__head_mounted,standing__remote,17.0,1.9670708297914176e-05,16,17,2.9506062446871264e-05
screen_share_valid,False,cell_pair,mannwhitneyu,sitting__remote,standing__remote,213.0,0.01917248475522309,17,17,0.023006981706267707
screen_share_valid,False,cell_pair,mannwhitneyu,sitting__head_mounted,standing__head_mounted,104.0,0.2565051861805062,17,16,0.2565051861805062
